order_date,product,category,region,customer_id,quantity,unit_price,revenue
2020-01-01,Product 013,Music,Central,1004,8,74.07,592.56
2020-01-01,Product 053,Office,South,2419,14,20.73,290.22
2020-01-01,Product 048,Toys,West,2070,20,18.14,362.8
2020-01-01,Product 102,Music,Islands,903,15,296.69,4450.35
2020-01-01,Product 004,Food,Islands,1394,9,81.96,737.64
2020-01-01,Product 173,Clothing,South,1557,4,182.69,730.76
2020-01-01,Product 177,Garden,Central,3306,2,366.22,732.44
2020-01-01,Product 275,Clothing,Islands,323,18,150.12,2702.16
2020-01-01,Product 186,Garden,West,2886,3,27.68,83.04
2020-01-02,Product 149,Clothing,West,3550,4,193.16,772.64
2020-01-02,Product 233,Office,Coast,667,12,180.86,2170.32
2020-01-02,Product 137,Music,South,2496,6,269.4,1616.4
2020-01-02,Product 126,Food,Highlands,1555,9,494.81,4453.29
2020-01-02,Product 286,Toys,Coast,3453,2,118.38,236.76
2020-01-02,Product 017,Books,Islands,1097,3,109.44,328.32
2020-01-02,Product 291,Music,Coast,871,16,200.84,3213.44
2020-01-02,Product 235,Food,Central,572,8,373.77,2990.16
2020-01-02,Product 276,Furniture,Islands,3678,19,202.7,3851.3
2020-01-02,Product 113,Food,Highlands,373,2,431.25,862.5
2020-01-02,Product 079,Office,East,3245,14,300.22,4203.08
2020-01-03,Product 196,Garden,Highlands,2168,9,485.68,4371.12
2020-01-03,Product 006,Office,South,2793,18,376.68,6780.24
2020-01-03,Product 175,Clothing,Central,1781,6,229.59,1377.54
2020-01-03,Product 135,Automotive,East,2080,4,435.91,1743.64
2020-01-03,Product 153,Office,West,627,12,382.44,4589.28
2020-01-03,Product 277,Automotive,North,2454,11,246.86,2715.46
2020-01-03,Product 058,Books,Central,981,2,124.23,248.46
2020-01-03,Product 291,Clothing,South,2998,16,408.93,6542.88
2020-01-03,Product 273,Food,East,2703,16,473.69,7579.04
2020-01-03,Product 085,Furniture,Islands,3951,7,464.81,3253.67
2020-01-03,Product 103,Music,Central,1635,12,221.86,2662.32
2020-01-03,Product 265,Beauty,South,1016,8,36.69,293.52
2020-01-03,Product 011,Garden,West,2411,8,8.56,68.48
2020-01-03,Product 031,Toys,South,3709,2,430.52,861.04
2020-01-04,Product 264,Toys,Central,2741,16,111.05,1776.8
2020-01-04,Product 068,Music,Highlands,996,16,404.71,6475.36
2020-01-04,Product 098,Clothing,South,2700,14,180.38,2525.32
2020-01-04,Product 211,Beauty,North,2759,4,35.0,140.0
2020-01-04,Product 174,Clothing,West,785,7,270.46,1893.22
2020-01-04,Product 072,Sports,East,1141,15,128.65,1929.75
2020-01-04,Product 039,Beauty,South,208,18,418.83,7538.94
2020-01-04,Product 048,Toys,East,1665,16,243.27,3892.32
2020-01-04,Product 206,Electronics,East,1553,1,492.73,492.73
2020-01-05,Product 233,Furniture,Islands,2854,18,332.63,5987.34
2020-01-05,Product 250,Food,West,1216,7,484.51,3391.57
2020-01-05,Product 297,Music,North,3064,11,33.3,366.3
2020-01-05,Product 300,Beauty,East,233,17,44.66,759.22
2020-01-05,Product 096,Clothing,South,2766,8,204.87,1638.96
2020-01-05,Product 292,Toys,North,2537,3,212.52,637.56
2020-01-05,Product 299,Garden,Coast,3829,9,106.11,954.99
2020-01-05,Product 161,Toys,Central,1622,5,337.49,1687.45
2020-01-05,Product 154,Beauty,Coast,3806,3,9.61,28.83
2020-01-05,Product 289,Clothing,South,2203,7,255.41,1787.87
2020-01-05,Product 068,Books,South,3602,8,187.92,1503.36
2020-01-05,Product 081,Beauty,Central,2506,17,8.87,150.79
2020-01-06,Product 154,Office,South,3846,5,135.91,679.55
2020-01-06,Product 055,Music,East,1116,10,304.39,3043.9
2020-01-06,Product 176,Toys,Central,2071,16,129.31,2068.96
2020-01-06,Product 027,Clothing,Islands,3398,9,26.82,241.38
2020-01-06,Product 171,Food,Central,662,15,278.08,4171.2
2020-01-06,Product 219,Automotive,North,459,3,472.8,1418.4
2020-01-06,Product 077,Automotive,North,3419,12,293.34,3520.08
2020-01-06,Product 076,Sports,East,172,10,185.5,1855.0
2020-01-06,Product 021,Books,West,2794,8,335.13,2681.04
2020-01-06,Product 182,Automotive,Islands,3989,20,375.99,7519.8
2020-01-06,Product 122,Food,East,3611,14,17.27,241.78
2020-01-06,Product 171,Sports,West,1093,6,394.75,2368.5
2020-01-06,Product 056,Sports,North,3517,16,115.1,1841.6
2020-01-06,Product 236,Books,Central,3361,8,115.35,922.8
2020-01-06,Product 099,Sports,Coast,1142,3,483.61,1450.83
2020-01-06,Product 143,Books,Islands,2784,18,168.92,3040.56
2020-01-07,Product 060,Furniture,East,2379,9,23.94,215.46
2020-01-07,Product 223,Books,Coast,1788,20,492.2,9844.0
2020-01-07,Product 060,Sports,West,1044,2,355.85,711.7
2020-01-07,Product 001,Automotive,West,1492,14,39.64,554.96
2020-01-07,Product 170,Garden,Coast,2718,4,361.28,1445.12
2020-01-07,Product 154,Automotive,Central,2732,14,166.46,2330.44
2020-01-07,Product 152,Automotive,East,786,14,334.14,4677.96
2020-01-07,Product 195,Office,East,2522,19,153.97,2925.43
2020-01-08,Product 001,Furniture,Central,861,14,393.95,5515.3
2020-01-08,Product 165,Beauty,Highlands,1812,7,258.03,1806.21
2020-01-08,Product 087,Office,South,1163,17,333.61,5671.37
2020-01-08,Product 172,Clothing,West,2756,10,116.2,1162.0
2020-01-08,Product 102,Food,North,190,8,492.05,3936.4
2020-01-08,Product 038,Beauty,Islands,3630,19,101.25,1923.75
2020-01-08,Product 197,Beauty,Islands,1000,5,329.75,1648.75
2020-01-08,Product 003,Clothing,Islands,897,6,403.03,2418.18
2020-01-08,Product 266,Beauty,North,2284,8,459.15,3673.2
2020-01-08,Product 063,Beauty,East,3283,15,335.45,5031.75
2020-01-08,Product 287,Garden,Coast,3892,15,308.26,4623.9
2020-01-08,Product 259,Sports,Highlands,3675,6,373.11,2238.66
2020-01-08,Product 244,Beauty,Central,3080,8,420.73,3365.84
2020-01-08,Product 142,Automotive,Highlands,2568,8,140.93,1127.44
2020-01-08,Product 040,Music,Central,961,9,171.24,1541.16
2020-01-08,Product 277,Clothing,East,618,8,194.6,1556.8
2020-01-09,Product 110,Clothing,Islands,1670,11,273.59,3009.49
2020-01-09,Product 213,Electronics,West,3412,14,197.79,2769.06
2020-01-09,Product 300,Music,North,3510,19,193.29,3672.51
2020-01-09,Product 004,Books,Central,3087,13,427.46,5556.98
2020-01-09,Product 215,Automotive,West,2000,8,140.1,1120.8
2020-01-09,Product 249,Electronics,Islands,1377,13,363.47,4725.11
2020-01-09,Product 240,Food,North,3715,13,297.99,3873.87
2020-01-09,Product 014,Clothing,Islands,556,15,94.96,1424.4
2020-01-09,Product 134,Sports,Coast,867,15,166.79,2501.85
2020-01-09,Product 195,Furniture,Islands,1034,3,237.8,713.4
2020-01-10,Product 027,Books,West,2663,3,391.71,1175.13
2020-01-10,Product 021,Electronics,West,817,1,312.56,312.56
2020-01-10,Product 123,Food,Highlands,2743,4,284.16,1136.64
2020-01-10,Product 112,Beauty,Central,3142,12,88.06,1056.72
2020-01-10,Product 059,Food,Central,443,19,17.71,336.49
2020-01-10,Product 160,Garden,Islands,1625,7,42.62,298.34
2020-01-10,Product 125,Clothing,Central,3483,20,403.74,8074.8
2020-01-10,Product 290,Electronics,Coast,2183,14,332.45,4654.3
2020-01-10,Product 036,Automotive,Coast,52,14,412.05,5768.7
2020-01-10,Product 055,Sports,Coast,2604,15,355.12,5326.8
2020-01-10,Product 223,Food,Central,2523,18,388.45,6992.1
2020-01-10,Product 239,Sports,Central,1321,8,416.21,3329.68
2020-01-10,Product 045,Furniture,Highlands,999,15,287.08,4306.2
2020-01-10,Product 195,Books,North,2025,11,95.01,1045.11
2020-01-10,Product 109,Books,Central,1395,9,440.76,3966.84
2020-01-10,Product 142,Automotive,North,2117,7,47.38,331.66
2020-01-11,Product 251,Automotive,West,2829,16,324.72,5195.52
2020-01-11,Product 252,Beauty,North,382,10,114.69,1146.9
2020-01-11,Product 125,Furniture,Coast,1939,18,267.81,4820.58
2020-01-11,Product 218,Music,Coast,1442,15,139.1,2086.5
2020-01-11,Product 129,Toys,South,2955,7,161.2,1128.4
2020-01-11,Product 275,Music,East,785,7,370.61,2594.27
2020-01-11,Product 142,Music,Central,412,7,151.64,1061.48
2020-01-11,Product 185,Food,Central,58,18,67.66,1217.88
2020-01-11,Product 024,Electronics,Central,2857,5,320.75,1603.75
2020-01-11,Product 252,Clothing,North,2352,10,237.35,2373.5
2020-01-11,Product 226,Books,East,3955,2,129.98,259.96
2020-01-11,Product 245,Clothing,South,1642,16,41.67,666.72
2020-01-11,Product 028,Food,East,3323,19,474.82,9021.58
2020-01-11,Product 044,Toys,South,2286,14,305.13,4271.82
2020-01-12,Product 268,Sports,Highlands,3722,15,152.19,2282.85
2020-01-12,Product 220,Furniture,North,2498,4,474.06,1896.24
2020-01-12,Product 107,Office,West,1084,3,82.74,248.22
2020-01-12,Product 089,Automotive,South,642,1,207.22,207.22
2020-01-12,Product 241,Furniture,North,949,10,354.94,3549.4
2020-01-12,Product 233,Clothing,West,3785,9,394.97,3554.73
2020-01-12,Product 102,Sports,South,2231,8,325.58,2604.64
2020-01-12,Product 137,Food,South,245,6,397.35,2384.1
