transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,product_category,product_type,product_detail,unit_price,quantity,total_amount,payment_method,customer_id
1,2025-01-01,15:15:14,1,Downtown,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Credit Card,1052
2,2025-01-01,14:02:01,5,Lakeside Plaza,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1119
3,2025-01-01,08:41:44,1,Downtown,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Credit Card,1112
4,2025-01-01,15:10:44,3,Uptown,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Cash,1142
5,2025-01-01,07:06:22,3,Uptown,104,Coffee,Latte,Latte - Regular,3.75,2,7.5,Credit Card,1309
6,2025-01-01,13:59:24,1,Downtown,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Mobile Pay,1150
7,2025-01-01,14:45:04,5,Lakeside Plaza,112,Bakery,Croissant,Butter Croissant,3.25,1,3.25,Mobile Pay,1116
8,2025-01-01,16:24:17,1,Downtown,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Credit Card,1427
9,2025-01-01,08:17:44,3,Uptown,112,Bakery,Croissant,Butter Croissant,3.25,3,9.75,Cash,1331
10,2025-01-01,15:10:29,2,Riverside Mall,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Credit Card,1327
11,2025-01-01,16:49:03,2,Riverside Mall,111,Tea,Chai,Chai Latte - Regular,3.85,1,3.85,Mobile Pay,1016
12,2025-01-01,07:58:36,4,Airport Terminal 2,109,Tea,Brewed Tea,Green Tea,2.75,3,8.25,Credit Card,1161
13,2025-01-01,17:41:29,4,Airport Terminal 2,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Credit Card,1071
14,2025-01-01,09:37:27,5,Lakeside Plaza,118,Merchandise,Mug,Branded Ceramic Mug,9.99,3,29.97,Credit Card,1204
15,2025-01-01,13:48:03,2,Riverside Mall,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,3,37.5,Credit Card,1078
16,2025-01-01,11:38:29,4,Airport Terminal 2,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Mobile Pay,1283
17,2025-01-01,15:34:48,1,Downtown,104,Coffee,Latte,Latte - Regular,3.75,1,3.75,Credit Card,1328
18,2025-01-01,08:00:46,3,Uptown,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,3,10.2,Mobile Pay,1134
19,2025-01-01,17:55:40,2,Riverside Mall,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Credit Card,1327
20,2025-01-01,11:10:34,2,Riverside Mall,105,Coffee,Latte,Latte - Large,4.25,4,17.0,Mobile Pay,1271
21,2025-01-01,13:07:59,5,Lakeside Plaza,111,Tea,Chai,Chai Latte - Regular,3.85,1,3.85,Mobile Pay,1425
22,2025-01-01,09:36:05,2,Riverside Mall,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Mobile Pay,1248
23,2025-01-01,08:30:35,5,Lakeside Plaza,105,Coffee,Latte,Latte - Large,4.25,1,4.25,Mobile Pay,1270
24,2025-01-01,18:48:46,4,Airport Terminal 2,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,2,7.9,Credit Card,1365
25,2025-01-01,17:28:07,3,Uptown,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Credit Card,1032
26,2025-01-01,09:14:00,5,Lakeside Plaza,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Cash,1323
27,2025-01-01,16:04:32,1,Downtown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Credit Card,1342
28,2025-01-01,15:56:36,5,Lakeside Plaza,105,Coffee,Latte,Latte - Large,4.25,1,4.25,Mobile Pay,1124
29,2025-01-02,07:42:27,4,Airport Terminal 2,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,1,3.95,Credit Card,1210
30,2025-01-02,07:46:21,1,Downtown,104,Coffee,Latte,Latte - Regular,3.75,2,7.5,Credit Card,1055
31,2025-01-02,12:27:11,2,Riverside Mall,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Mobile Pay,1127
32,2025-01-02,16:54:35,1,Downtown,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Mobile Pay,1333
33,2025-01-02,17:54:15,1,Downtown,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1248
34,2025-01-02,08:00:24,4,Airport Terminal 2,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Mobile Pay,1401
35,2025-01-02,15:46:50,3,Uptown,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,1,3.4,Credit Card,1367
36,2025-01-02,09:03:37,2,Riverside Mall,110,Tea,Brewed Tea,Earl Grey,2.75,2,5.5,Credit Card,1031
37,2025-01-02,14:32:58,1,Downtown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,3,8.85,Cash,1080
38,2025-01-02,16:04:38,5,Lakeside Plaza,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1441
39,2025-01-02,14:02:39,1,Downtown,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Credit Card,1336
40,2025-01-02,18:13:42,5,Lakeside Plaza,111,Tea,Chai,Chai Latte - Regular,3.85,2,7.7,Credit Card,1122
41,2025-01-02,12:59:48,2,Riverside Mall,110,Tea,Brewed Tea,Earl Grey,2.75,3,8.25,Credit Card,1004
42,2025-01-02,07:13:32,5,Lakeside Plaza,104,Coffee,Latte,Latte - Regular,3.75,1,3.75,Mobile Pay,1178
43,2025-01-02,09:28:53,2,Riverside Mall,112,Bakery,Croissant,Butter Croissant,3.25,1,3.25,Credit Card,1154
44,2025-01-02,14:35:19,5,Lakeside Plaza,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,3,7.5,Mobile Pay,1053
45,2025-01-02,08:06:47,2,Riverside Mall,109,Tea,Brewed Tea,Green Tea,2.75,1,2.75,Credit Card,1139
46,2025-01-02,08:40:54,2,Riverside Mall,111,Tea,Chai,Chai Latte - Regular,3.85,1,3.85,Credit Card,1250
47,2025-01-02,14:53:17,1,Downtown,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Mobile Pay,1170
48,2025-01-02,15:35:45,3,Uptown,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,1,3.65,Cash,1004
49,2025-01-02,07:23:37,2,Riverside Mall,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Cash,1220
50,2025-01-02,17:50:55,3,Uptown,112,Bakery,Croissant,Butter Croissant,3.25,1,3.25,Credit Card,1183
51,2025-01-02,10:35:56,2,Riverside Mall,104,Coffee,Latte,Latte - Regular,3.75,3,11.25,Credit Card,1317
52,2025-01-02,19:51:11,2,Riverside Mall,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,3,10.95,Cash,1012
53,2025-01-02,16:55:47,3,Uptown,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,2,6.8,Cash,1136
54,2025-01-02,17:54:30,1,Downtown,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Mobile Pay,1418
55,2025-01-02,16:55:14,3,Uptown,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Cash,1337
56,2025-01-02,16:49:17,3,Uptown,109,Tea,Brewed Tea,Green Tea,2.75,1,2.75,Credit Card,1260
57,2025-01-02,18:07:56,5,Lakeside Plaza,111,Tea,Chai,Chai Latte - Regular,3.85,4,15.4,Credit Card,1091
58,2025-01-02,08:27:22,3,Uptown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,2,5.9,Credit Card,1160
59,2025-01-03,17:12:16,1,Downtown,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Cash,1223
60,2025-01-03,11:04:42,5,Lakeside Plaza,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,3,11.85,Credit Card,1319
61,2025-01-03,13:42:26,1,Downtown,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Credit Card,1356
62,2025-01-03,12:24:43,2,Riverside Mall,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,2,7.9,Credit Card,1089
63,2025-01-03,13:00:19,3,Uptown,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Mobile Pay,1220
64,2025-01-03,12:28:43,5,Lakeside Plaza,111,Tea,Chai,Chai Latte - Regular,3.85,1,3.85,Mobile Pay,1242
65,2025-01-03,09:42:40,2,Riverside Mall,103,Coffee,Espresso,Espresso Shot,2.2,2,4.4,Mobile Pay,1047
66,2025-01-03,09:12:09,2,Riverside Mall,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Mobile Pay,1125
67,2025-01-03,12:56:40,5,Lakeside Plaza,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1367
68,2025-01-03,09:41:44,4,Airport Terminal 2,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Mobile Pay,1384
69,2025-01-03,09:51:44,1,Downtown,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,1,3.4,Credit Card,1025
70,2025-01-03,08:29:42,1,Downtown,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Credit Card,1286
71,2025-01-03,12:58:35,4,Airport Terminal 2,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Credit Card,1081
72,2025-01-03,09:15:53,4,Airport Terminal 2,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,2,4.2,Mobile Pay,1392
73,2025-01-03,09:04:45,4,Airport Terminal 2,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Credit Card,1139
74,2025-01-03,08:14:24,5,Lakeside Plaza,103,Coffee,Espresso,Espresso Shot,2.2,2,4.4,Credit Card,1361
75,2025-01-03,10:29:26,4,Airport Terminal 2,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,1,3.4,Credit Card,1426
76,2025-01-03,16:48:36,5,Lakeside Plaza,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Mobile Pay,1003
77,2025-01-03,16:53:26,3,Uptown,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Credit Card,1376
78,2025-01-03,13:17:27,5,Lakeside Plaza,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Credit Card,1199
79,2025-01-03,16:58:08,4,Airport Terminal 2,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,4,14.6,Cash,1273
80,2025-01-03,07:27:08,4,Airport Terminal 2,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,3,7.5,Cash,1093
81,2025-01-03,08:20:21,4,Airport Terminal 2,111,Tea,Chai,Chai Latte - Regular,3.85,2,7.7,Credit Card,1194
82,2025-01-03,16:30:01,4,Airport Terminal 2,109,Tea,Brewed Tea,Green Tea,2.75,2,5.5,Mobile Pay,1026
83,2025-01-03,14:49:41,3,Uptown,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Mobile Pay,1015
84,2025-01-03,14:15:08,2,Riverside Mall,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Credit Card,1058
85,2025-01-04,15:10:38,4,Airport Terminal 2,109,Tea,Brewed Tea,Green Tea,2.75,2,5.5,Credit Card,1382
86,2025-01-04,08:01:59,2,Riverside Mall,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Mobile Pay,1346
87,2025-01-04,18:12:04,4,Airport Terminal 2,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Credit Card,1425
88,2025-01-04,16:38:51,1,Downtown,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Mobile Pay,1289
89,2025-01-04,12:23:04,3,Uptown,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Cash,1174
90,2025-01-04,08:23:40,4,Airport Terminal 2,116,Pastry,Scone,Cranberry Scone,2.95,3,8.85,Credit Card,1235
91,2025-01-04,15:41:17,4,Airport Terminal 2,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,2,7.3,Mobile Pay,1275
92,2025-01-04,16:37:17,4,Airport Terminal 2,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,1,3.4,Mobile Pay,1125
93,2025-01-04,17:15:48,1,Downtown,109,Tea,Brewed Tea,Green Tea,2.75,1,2.75,Credit Card,1312
94,2025-01-04,13:20:11,3,Uptown,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Mobile Pay,1181
95,2025-01-04,17:44:56,3,Uptown,109,Tea,Brewed Tea,Green Tea,2.75,1,2.75,Credit Card,1005
96,2025-01-04,09:26:31,2,Riverside Mall,103,Coffee,Espresso,Espresso Shot,2.2,1,2.2,Credit Card,1123
97,2025-01-04,16:05:18,4,Airport Terminal 2,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Credit Card,1354
98,2025-01-04,12:33:22,5,Lakeside Plaza,112,Bakery,Croissant,Butter Croissant,3.25,1,3.25,Credit Card,1381
99,2025-01-04,09:16:14,3,Uptown,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Credit Card,1098
100,2025-01-04,08:47:30,5,Lakeside Plaza,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,1,3.65,Mobile Pay,1301
101,2025-01-04,19:53:12,5,Lakeside Plaza,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Cash,1184
102,2025-01-04,08:02:03,1,Downtown,118,Merchandise,Mug,Branded Ceramic Mug,9.99,1,9.99,Mobile Pay,1357
103,2025-01-04,17:36:18,4,Airport Terminal 2,104,Coffee,Latte,Latte - Regular,3.75,1,3.75,Credit Card,1225
104,2025-01-04,18:30:07,1,Downtown,109,Tea,Brewed Tea,Green Tea,2.75,2,5.5,Credit Card,1205
105,2025-01-04,08:51:36,5,Lakeside Plaza,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,3,8.85,Mobile Pay,1043
106,2025-01-05,14:50:39,5,Lakeside Plaza,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,1,3.4,Credit Card,1267
107,2025-01-05,16:27:19,4,Airport Terminal 2,110,Tea,Brewed Tea,Earl Grey,2.75,1,2.75,Credit Card,1030
108,2025-01-05,14:16:42,1,Downtown,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,1,3.95,Cash,1122
109,2025-01-05,06:28:44,1,Downtown,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,1,3.65,Cash,1149
110,2025-01-05,15:29:04,3,Uptown,110,Tea,Brewed Tea,Earl Grey,2.75,2,5.5,Mobile Pay,1135
111,2025-01-05,12:34:14,5,Lakeside Plaza,107,Coffee,Cold Brew,Cold Brew - Regular,3.95,2,7.9,Mobile Pay,1136
112,2025-01-05,08:19:38,1,Downtown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,2,5.9,Mobile Pay,1291
113,2025-01-05,12:19:44,4,Airport Terminal 2,104,Coffee,Latte,Latte - Regular,3.75,1,3.75,Credit Card,1139
114,2025-01-05,07:02:56,4,Airport Terminal 2,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Credit Card,1165
115,2025-01-05,09:43:53,1,Downtown,103,Coffee,Espresso,Espresso Shot,2.2,3,6.6,Mobile Pay,1300
116,2025-01-05,15:11:30,3,Uptown,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Mobile Pay,1226
117,2025-01-05,14:31:05,2,Riverside Mall,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,1,3.4,Credit Card,1209
118,2025-01-05,10:44:31,1,Downtown,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,1,3.65,Mobile Pay,1205
119,2025-01-05,12:20:16,5,Lakeside Plaza,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,1,2.95,Credit Card,1395
120,2025-01-05,14:34:29,5,Lakeside Plaza,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Credit Card,1096
121,2025-01-05,14:48:03,5,Lakeside Plaza,116,Pastry,Scone,Cranberry Scone,2.95,1,2.95,Cash,1281
122,2025-01-05,17:31:07,3,Uptown,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Credit Card,1322
123,2025-01-05,10:00:35,2,Riverside Mall,106,Coffee,Cappuccino,Cappuccino - Regular,3.65,1,3.65,Mobile Pay,1115
124,2025-01-05,18:41:53,1,Downtown,115,Pastry,Cookie,Chocolate Chip Cookie,2.1,1,2.1,Credit Card,1366
125,2025-01-06,16:30:15,3,Uptown,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,1,3.4,Credit Card,1074
126,2025-01-06,15:08:55,5,Lakeside Plaza,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Mobile Pay,1395
127,2025-01-06,18:32:17,4,Airport Terminal 2,111,Tea,Chai,Chai Latte - Regular,3.85,2,7.7,Credit Card,1144
128,2025-01-06,16:28:34,5,Lakeside Plaza,116,Pastry,Scone,Cranberry Scone,2.95,1,2.95,Credit Card,1170
129,2025-01-06,12:20:55,5,Lakeside Plaza,113,Bakery,Muffin,Blueberry Muffin,3.1,1,3.1,Credit Card,1357
130,2025-01-06,16:26:02,4,Airport Terminal 2,108,Coffee,Cold Brew,Cold Brew - Large,4.45,1,4.45,Credit Card,1242
131,2025-01-06,19:50:52,4,Airport Terminal 2,113,Bakery,Muffin,Blueberry Muffin,3.1,2,6.2,Credit Card,1077
132,2025-01-06,13:37:21,1,Downtown,105,Coffee,Latte,Latte - Large,4.25,3,12.75,Mobile Pay,1447
133,2025-01-06,17:00:46,1,Downtown,117,Merchandise,Bag,Coffee Beans - 12oz Bag,12.5,1,12.5,Credit Card,1445
134,2025-01-06,12:16:21,2,Riverside Mall,103,Coffee,Espresso,Espresso Shot,2.2,2,4.4,Credit Card,1203
135,2025-01-06,11:20:40,3,Uptown,118,Merchandise,Mug,Branded Ceramic Mug,9.99,2,19.98,Credit Card,1388
136,2025-01-06,14:15:40,5,Lakeside Plaza,102,Coffee,Brewed Coffee,Brewed Coffee - Large,2.95,2,5.9,Mobile Pay,1147
137,2025-01-06,19:48:40,1,Downtown,114,Bakery,Bagel,Plain Bagel with Cream Cheese,3.4,2,6.8,Credit Card,1051
138,2025-01-06,07:50:03,3,Uptown,101,Coffee,Brewed Coffee,Brewed Coffee - Regular,2.5,1,2.5,Credit Card,1191
