"text","context","label"
"ппоехали","Что можно добавить: график выручки по месяцам, таблицу топ-товаров и воронку продаж. Применить предложенное?","dashboard"
"поставь фильтр по сотрудникам )","","dashboard"
"нет, лучше выгрузи в pdf","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","export"
"давай да","Всего в базе 122 клиента из 21 страны.","chat"
"скинь платежи файлом если можно)","","export"
"Сначала объясни что показывает пустой виджет срочно...","Хотите, выгружу полный список файлом?","chat"
"Если можно, оформи заказы по городам за этот год в ворд хорошо? )","Хотите, выгружу полный список файлом?","export"
"сначала в формате docx выгрузи прибыль и всё.","Готово, файл с выгрузкой можно скачать по ссылке выше.","export"
"сначала «Цена и расход по клиентам» добавь ещё продажи для этого виджета если можно.","","dashboard"
"отмена","Хочешь, чтобы я подготовил эти данные файлом?","chat"
"Быстро что ещё можно добавить по продажам хорошо?!","Могу добавить фильтр по датам ко всем виджетам. Применить?","chat"
"сделай тк","На дашборде шесть виджетов: карточки, динамика заказов, продажи по странам, воронка, таблица топ-клиентов и средний чек.","chat"
"слушай, снеси последний виджет, а ещё покажи платежи на дашборде срочно","","dashboard"
"Давай какие виджеты видишь и что они показывают. и ещё какие данные есть по офисам? плиз","Данных о сотрудниках в подключённом источнике нет.","chat"
"жми","За какой период вас интересуют данные?","chat"
"будь добр посчитай остатки по поставщикам и выгрузить в xls )","","export"
"и мне надо docx с оборот пожалуйста","Какой именно виджет вы имеете в виду — первый или второй?","export"
"добавить картачки с прибыль","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","dashboard"
"потом нужен файл xlsx по логистике если можно","","export"
"сначала хочу скачать остатки за последние 3 месяца!","","export"
"потом а теперь в xls можно?","Уточните, по всем регионам или только по одному?","export"
"можно визуализируй средний чек. и ешё в «Платежи по странам» покажи ещё платежи срочно!!","","dashboard"
"нет, лучше выгрузи в pdf","Хочешь, чтобы я подготовил эти данные файлом?","export"
"срочно дай файл с статки.","Полный список из 340 клиентов удобнее смотреть в файле. Сделать выгрузку?","export"
"годится","Могу перестроить дашборд под эти показатели. Сделать?","dashboard"
"хорошодавай","","chat"
"сделай последний виджет круговым. и ещё объедини пустой виджет и пустой виджет хорошо? )","","dashboard"
"будь добр какая динамика средний чек?, и расскажи про виджет со средним чеком заранее спасибо!","Могу собрать это в Excel и дать ссылку на скачивание. Подготовить?","chat"
"а сохрани прибыль и всё)","","export"
"еслиможно, как улучшить дашборд?!!","По каким клиентам показать: по всем или только активным?","chat"
"пожалуйста оформи продажи документмо заранее спасибо...","Виджет со средним чеком дублирует карточки — его стоит удалить. Обновить дашборд?","export"
"несейчас","offer_dashboard","chat"
"идёт","offer_export","export"
